input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,log,random,0.25,0,gp,,,,matern3_2,1e-3,TRUE,CB,3,,FALSE,CMAES,surrogate,5,27,1.11072066911211,0,8,5
none,log,random,0.25,0,gp,,,,matern5_2,1e-3,TRUE,CB,3,,FALSE,CMAES,surrogate,5,28,1.05170655260577,0,8,5
none,log,random,0.25,0,gp,,,,exp,1e-3,TRUE,CB,3,,FALSE,CMAES,surrogate,5,29,1.05344292565683,0,8,5
none,log,random,0.25,0,gp,,,,gauss,1e-8,TRUE,CB,3,,FALSE,CMAES,surrogate,5,30,1.01454949787525,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,TRUE,CB,3,,FALSE,CMAES,surrogate,5,31,1.12769476214058,0,8,5
none,log,random,0.25,0,gp,,,,matern5_2,1e-8,TRUE,CB,3,,FALSE,CMAES,surrogate,5,32,1.07662798511357,0,8,5
none,log,random,0.25,0,gp,,,,exp,1e-8,TRUE,CB,3,,FALSE,CMAES,surrogate,5,33,1.09767456082964,0,8,5
none,log,random,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,FALSE,CMAES,surrogate,5,34,1.12786705171315,0,8,5
none,log,random,0.25,0,gp,,,,matern5_2,0,FALSE,CB,3,,FALSE,CMAES,surrogate,5,35,1.15335655213163,0,8,5
none,log,random,0.25,0,gp,,,,exp,0,FALSE,CB,3,,FALSE,CMAES,surrogate,5,36,1.10180982182756,0,8,5
none,log,random,0.25,0,gp,,,,gauss,1e-3,FALSE,CB,3,,FALSE,CMAES,surrogate,5,37,1.03771231664037,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,1e-3,FALSE,CB,3,,FALSE,CMAES,surrogate,5,38,1.10732387826685,0,8,5
none,log,random,0.25,0,gp,,,,matern5_2,1e-3,FALSE,CB,3,,FALSE,CMAES,surrogate,5,39,1.05766702554702,0,8,5
none,log,random,0.25,0,gp,,,,exp,1e-3,FALSE,CB,3,,FALSE,CMAES,surrogate,5,40,1.09076059548366,0,8,5
none,log,random,0.25,0,gp,,,,gauss,1e-8,FALSE,CB,3,,FALSE,CMAES,surrogate,5,41,1.12254089703049,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,surrogate,5,42,1.18388288814251,0,8,5
none,log,random,0.25,0,gp,,,,matern5_2,1e-8,FALSE,CB,3,,FALSE,CMAES,surrogate,5,43,1.16508511807414,0,8,5
none,log,random,0.25,0,gp,,,,exp,1e-8,FALSE,CB,3,,FALSE,CMAES,surrogate,5,44,1.10883248113912,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,PI,,,,CMAES,acqf,5,45,0.0475674839262983,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,Mean,,,,CMAES,acqf,5,46,0.987047036014612,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,1,,TRUE,CMAES,acqf,5,47,1.07335105767601,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,TRUE,CMAES,acqf,5,48,1.18216720482586,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,10,,TRUE,CMAES,acqf,5,49,1.04938191602426,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,1,,FALSE,CMAES,acqf,5,50,1.06500710330658,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,10,,FALSE,CMAES,acqf,5,51,1.04953776113342,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,TRUE,,CMAES,acqf,5,52,1.1639791381535,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,CMAES,acqf,5,53,1.1451683930565,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,RS_1000,acqopt,5,54,0.895038629855677,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,RS,acqopt,5,55,0.971538416764613,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,LS,acqopt,5,56,1.16595349987461,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,DIRECT,acqopt,5,57,1.05790258892399,0,8,5
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,LBFGSB,acqopt,5,58,0.829291848371213,0,8,5
unitcube,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,input_trafo,6,1,1.17357846766168,0,8,6
none,none,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,output_trafo,6,2,0.938752005738922,0,8,6
none,standardize,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,output_trafo,6,3,0.922788482548779,0,8,6
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,init,6,4,1.17001682889629,0,8,6
none,log,sobol,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,init,6,5,1.17778867918311,0,8,6
none,log,random,0.05,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,init_size_fraction,6,6,1.18831535098808,0,8,6
none,log,random,0.10,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,init_size_fraction,6,7,1.18468464614368,0,8,6
none,log,random,0.25,2,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,random_interleave_iter,6,8,1.13998459637814,0,8,6
none,log,random,0.25,4,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,random_interleave_iter,6,9,1.15761271524059,0,8,6
none,log,random,0.25,0,rf,TRUE,10,jack,,,,CB,3,,FALSE,CMAES,surrogate,6,10,0.917825563781503,0,8,6
none,log,random,0.25,0,rf,FALSE,10,jack,,,,CB,3,,FALSE,CMAES,surrogate,6,11,0.901993189568698,0,8,6
none,log,random,0.25,0,rf,TRUE,500,jack,,,,CB,3,,FALSE,CMAES,surrogate,6,12,1.03672265870014,0,8,6
none,log,random,0.25,0,rf,FALSE,500,jack,,,,CB,3,,FALSE,CMAES,surrogate,6,13,0.99001990393441,0,8,6
none,log,random,0.25,0,rf,TRUE,10,ensemble_standard_deviation,,,,CB,3,,FALSE,CMAES,surrogate,6,14,1.02637577548396,0,8,6
none,log,random,0.25,0,rf,FALSE,10,ensemble_standard_deviation,,,,CB,3,,FALSE,CMAES,surrogate,6,15,1.00207309505198,0,8,6
none,log,random,0.25,0,rf,TRUE,500,ensemble_standard_deviation,,,,CB,3,,FALSE,CMAES,surrogate,6,16,1.06659572032541,0,8,6
none,log,random,0.25,0,rf,FALSE,500,ensemble_standard_deviation,,,,CB,3,,FALSE,CMAES,surrogate,6,17,1.06398443646431,0,8,6
none,log,random,0.25,0,rf,TRUE,10,law_of_total_variance,,,,CB,3,,FALSE,CMAES,surrogate,6,18,1.07173475888262,0,8,6
none,log,random,0.25,0,rf,FALSE,10,law_of_total_variance,,,,CB,3,,FALSE,CMAES,surrogate,6,19,1.00788332616928,0,8,6
none,log,random,0.25,0,rf,TRUE,500,law_of_total_variance,,,,CB,3,,FALSE,CMAES,surrogate,6,20,1.03783015762471,0,8,6
none,log,random,0.25,0,rf,FALSE,500,law_of_total_variance,,,,CB,3,,FALSE,CMAES,surrogate,6,21,1.01046975218789,0,8,6
none,log,random,0.25,0,gp,,,,gauss,0,TRUE,CB,3,,FALSE,CMAES,surrogate,6,22,1.02436867483912,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,0,TRUE,CB,3,,FALSE,CMAES,surrogate,6,23,1.11388837312935,0,8,6
none,log,random,0.25,0,gp,,,,matern5_2,0,TRUE,CB,3,,FALSE,CMAES,surrogate,6,24,1.08225972709612,0,8,6
none,log,random,0.25,0,gp,,,,exp,0,TRUE,CB,3,,FALSE,CMAES,surrogate,6,25,1.12387256914092,0,8,6
none,log,random,0.25,0,gp,,,,gauss,1e-3,TRUE,CB,3,,FALSE,CMAES,surrogate,6,26,1.04737014318967,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-3,TRUE,CB,3,,FALSE,CMAES,surrogate,6,27,1.10476528731219,0,8,6
none,log,random,0.25,0,gp,,,,matern5_2,1e-3,TRUE,CB,3,,FALSE,CMAES,surrogate,6,28,1.0183848313976,0,8,6
none,log,random,0.25,0,gp,,,,exp,1e-3,TRUE,CB,3,,FALSE,CMAES,surrogate,6,29,1.07151271900861,0,8,6
none,log,random,0.25,0,gp,,,,gauss,1e-8,TRUE,CB,3,,FALSE,CMAES,surrogate,6,30,0.999401326716548,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,TRUE,CB,3,,FALSE,CMAES,surrogate,6,31,1.09756916070489,0,8,6
none,log,random,0.25,0,gp,,,,matern5_2,1e-8,TRUE,CB,3,,FALSE,CMAES,surrogate,6,32,1.0926947408934,0,8,6
none,log,random,0.25,0,gp,,,,exp,1e-8,TRUE,CB,3,,FALSE,CMAES,surrogate,6,33,1.10519589616333,0,8,6
none,log,random,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,FALSE,CMAES,surrogate,6,34,1.09092017902127,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,0,FALSE,CB,3,,FALSE,CMAES,surrogate,6,35,1.16444147931258,0,8,6
none,log,random,0.25,0,gp,,,,matern5_2,0,FALSE,CB,3,,FALSE,CMAES,surrogate,6,36,1.16786356046695,0,8,6
none,log,random,0.25,0,gp,,,,exp,0,FALSE,CB,3,,FALSE,CMAES,surrogate,6,37,1.10250982031958,0,8,6
none,log,random,0.25,0,gp,,,,gauss,1e-3,FALSE,CB,3,,FALSE,CMAES,surrogate,6,38,1.02951980427533,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-3,FALSE,CB,3,,FALSE,CMAES,surrogate,6,39,1.0805114267816,0,8,6
none,log,random,0.25,0,gp,,,,matern5_2,1e-3,FALSE,CB,3,,FALSE,CMAES,surrogate,6,40,1.05138661032235,0,8,6
none,log,random,0.25,0,gp,,,,exp,1e-3,FALSE,CB,3,,FALSE,CMAES,surrogate,6,41,1.08871158533448,0,8,6
none,log,random,0.25,0,gp,,,,gauss,1e-8,FALSE,CB,3,,FALSE,CMAES,surrogate,6,42,1.11676687684032,0,8,6
none,log,random,0.25,0,gp,,,,matern5_2,1e-8,FALSE,CB,3,,FALSE,CMAES,surrogate,6,43,1.16687405774445,0,8,6
none,log,random,0.25,0,gp,,,,exp,1e-8,FALSE,CB,3,,FALSE,CMAES,surrogate,6,44,1.07881347586555,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,PI,,,,CMAES,acqf,6,45,0.531973426789457,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,Mean,,,,CMAES,acqf,6,46,0.963030739054213,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,1,,TRUE,CMAES,acqf,6,47,1.0922953712837,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,TRUE,CMAES,acqf,6,48,1.17333476317134,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,10,,TRUE,CMAES,acqf,6,49,1.04647787934669,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,1,,FALSE,CMAES,acqf,6,50,1.05475405684792,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,10,,FALSE,CMAES,acqf,6,51,1.04511891150423,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,TRUE,,CMAES,acqf,6,52,1.15064577097406,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,acqf,6,53,1.153870814442,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,RS_1000,acqopt,6,54,0.895378782238018,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,RS,acqopt,6,55,0.967508714263915,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,LS,acqopt,6,56,1.16200083337573,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,DIRECT,acqopt,6,57,1.06418428129495,0,8,6
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,LBFGSB,acqopt,6,58,0.832988364091692,0,8,6
