input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
unitcube,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,input_trafo,2,1,0.775408975717903,0,14,2
none,standardize,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,output_trafo,2,2,0.723395886094116,0,14,2
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,output_trafo,2,3,0.83860468145696,0,14,2
none,none,lhs,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init,2,4,0.785781623298058,0,14,2
none,none,sobol,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init,2,5,0.766829599981026,0,14,2
none,none,random,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init_size_fraction,2,6,0.690124118457139,0,14,2
none,none,random,0.10,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init_size_fraction,2,7,0.698927217483257,0,14,2
none,none,random,0.25,2,500,ensemble_standard_deviation,EI,,FALSE,,LS,random_interleave_iter,2,8,0.712563072765046,0,14,2
none,none,random,0.25,4,500,ensemble_standard_deviation,EI,,FALSE,,LS,random_interleave_iter,2,9,0.755154924704599,0,14,2
none,none,random,0.25,0,10,ensemble_standard_deviation,EI,,FALSE,,LS,trees,2,10,0.538965624616806,0,14,2
none,none,random,0.25,0,500,jack,EI,,FALSE,,LS,variance_estimator,2,11,0.613824545077685,0,14,2
none,none,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,variance_estimator,2,12,0.586564321335024,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,PI,,,,LS,acqf,2,13,0.833171103899624,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,Mean,,,,LS,acqf,2,14,0.522788793205642,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,TRUE,LS,acqf,2,15,0.878421934192078,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,3,,TRUE,LS,acqf,2,16,0.591303416324871,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,10,,TRUE,LS,acqf,2,17,0.161201571988935,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,acqf,2,18,0.880891017465044,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,3,,FALSE,LS,acqf,2,19,0.580628641561834,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,CB,10,,FALSE,LS,acqf,2,20,0.185617886721157,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,TRUE,,LS,acqf,2,21,0.429825019428335,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,acqopt,2,22,0.323368678519033,0,14,2
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS,acqopt,2,23,0.392459777632268,0,14,2
unitcube,none,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,input_trafo,3,1,0.873183462282541,0,14,3
none,standardize,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,output_trafo,3,2,0.755248042006066,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,output_trafo,3,3,0.893789388710686,0,14,3
none,none,lhs,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,init,3,4,0.888912468040572,0,14,3
none,none,sobol,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,init,3,5,0.865834136761811,0,14,3
none,none,random,0.05,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,init_size_fraction,3,6,0.760637513094107,0,14,3
none,none,random,0.10,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,init_size_fraction,3,7,0.801926076677134,0,14,3
none,none,random,0.25,2,500,ensemble_standard_deviation,CB,1,,FALSE,LS,random_interleave_iter,3,8,0.818901578900756,0,14,3
none,none,random,0.25,4,500,ensemble_standard_deviation,CB,1,,FALSE,LS,random_interleave_iter,3,9,0.853591994211597,0,14,3
none,none,random,0.25,0,10,ensemble_standard_deviation,CB,1,,FALSE,LS,trees,3,10,0.821637443720711,0,14,3
none,none,random,0.25,0,500,jack,CB,1,,FALSE,LS,variance_estimator,3,11,0.910812971198099,0,14,3
none,none,random,0.25,0,500,law_of_total_variance,CB,1,,FALSE,LS,variance_estimator,3,12,0.651520187176443,0,14,3
none,none,random,0.25,0,500,ensemble_standard_deviation,PI,,,,LS,acqf,3,13,0.835068318879708,0,14,3
