input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,mean_runtime,min_runtime,max_runtime
none,log,lhs,0.10,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,65,0,159
none,log,lhs,0.25,2,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,33,0,91
none,log,lhs,0.25,4,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,46,0,117
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,PI,,,,CMAES,92,1,173
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,Mean,,,,CMAES,62,0,159
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,1,,TRUE,CMAES,57,0,158
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,TRUE,CMAES,52,0,147
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,10,,TRUE,CMAES,49,0,143
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,1,,FALSE,CMAES,52,0,162
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,3,,FALSE,CMAES,46,0,155
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,CB,10,,FALSE,CMAES,46,0,133
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,TRUE,,CMAES,60,0,128
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,RS_1000,61,13,134
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,RS,53,20,113
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,LS,66,16,135
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,DIRECT,65,23,122
none,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,LBFGSB,64,18,138
