input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,mean_runtime,min_runtime,max_runtime
none,log,lhs,0.25,0,gp,,,,exp,1e-8,FALSE,EI,,FALSE,,CMAES,43,1,94
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,PI,,,,CMAES,5,3,13
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,Mean,,,,CMAES,17,1,106
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,TRUE,CMAES,24,1,103
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,TRUE,CMAES,30,1,105
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,TRUE,CMAES,28,1,87
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,FALSE,CMAES,28,1,127
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,FALSE,CMAES,32,1,129
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,FALSE,CMAES,40,1,117
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,TRUE,,CMAES,56,1,156
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,68,9,117
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS,58,10,108
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LS,68,6,155
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,DIRECT,58,3,153
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LBFGSB,13,1,148
unitcube,log,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,71,0,143
none,standardize,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,55,0,99
none,log,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,71,0,168
none,log,sobol,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,66,0,151
none,log,lhs,0.05,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,69,0,161
