input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,gp,,,,gauss,1e-8,TRUE,EI,,FALSE,,CMAES,surrogate,2,30,0.85085331508182,0,8,2
none,none,random,0.25,0,gp,,,,matern3_2,1e-8,TRUE,EI,,FALSE,,CMAES,surrogate,2,31,1.08223221548877,0,8,2
none,none,random,0.25,0,gp,,,,matern5_2,1e-8,TRUE,EI,,FALSE,,CMAES,surrogate,2,32,1.14288585398138,0,8,2
none,none,random,0.25,0,gp,,,,exp,1e-8,TRUE,EI,,FALSE,,CMAES,surrogate,2,33,1.14806990758902,0,8,2
none,none,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,CMAES,surrogate,2,34,0.882316181738506,0,8,2
none,none,random,0.25,0,gp,,,,matern5_2,0,FALSE,EI,,FALSE,,CMAES,surrogate,2,35,1.13019569343541,0,8,2
none,none,random,0.25,0,gp,,,,exp,0,FALSE,EI,,FALSE,,CMAES,surrogate,2,36,1.10309096091147,0,8,2
none,none,random,0.25,0,gp,,,,gauss,1e-3,FALSE,EI,,FALSE,,CMAES,surrogate,2,37,0.816722698253474,0,8,2
none,none,random,0.25,0,gp,,,,matern3_2,1e-3,FALSE,EI,,FALSE,,CMAES,surrogate,2,38,0.967874303268364,0,8,2
none,none,random,0.25,0,gp,,,,matern5_2,1e-3,FALSE,EI,,FALSE,,CMAES,surrogate,2,39,1.04578167579315,0,8,2
none,none,random,0.25,0,gp,,,,exp,1e-3,FALSE,EI,,FALSE,,CMAES,surrogate,2,40,1.01862975036051,0,8,2
none,none,random,0.25,0,gp,,,,gauss,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,2,41,0.810135370727845,0,8,2
none,none,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,2,42,1.04197505393215,0,8,2
none,none,random,0.25,0,gp,,,,matern5_2,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,2,43,1.11992532892686,0,8,2
none,none,random,0.25,0,gp,,,,exp,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,2,44,1.10234525061653,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,PI,,,,CMAES,acqf,2,45,0.853464867030175,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,Mean,,,,CMAES,acqf,2,46,0.220359256569436,0,8,2
