algorithm,scenario,instance,runtime,dim,repl
optuna,rbv2_super,1063,333,38,6
optuna,rbv2_super,1063,261,38,7
optuna,rbv2_super,1063,264,38,8
optuna,rbv2_super,1063,268,38,9
optuna,rbv2_super,1063,267,38,10
optuna,rbv2_super,1063,268,38,11
optuna,rbv2_super,1063,332,38,12
optuna,rbv2_super,1063,267,38,13
optuna,rbv2_super,1063,267,38,14
optuna,rbv2_super,1063,266,38,15
optuna,rbv2_super,1063,266,38,16
optuna,rbv2_super,1063,267,38,17
optuna,rbv2_super,1063,332,38,18
optuna,rbv2_super,1063,759,38,19
optuna,rbv2_super,1063,265,38,20
optuna,rbv2_super,1063,659,38,21
optuna,rbv2_super,1063,266,38,22
optuna,rbv2_super,1063,265,38,23
optuna,rbv2_super,1063,333,38,24
optuna,rbv2_super,1063,264,38,25
optuna,rbv2_super,1063,264,38,26
optuna,rbv2_super,1063,263,38,27
optuna,rbv2_super,1063,263,38,28
optuna,rbv2_super,1063,286,38,29
optuna,rbv2_super,1063,332,38,30
optuna,rbv2_super,15,242,38,1
optuna,rbv2_super,15,278,38,2
optuna,rbv2_super,15,243,38,3
optuna,rbv2_super,15,277,38,4
optuna,rbv2_super,15,286,38,5
optuna,rbv2_super,15,335,38,6
optuna,rbv2_super,15,759,38,7
optuna,rbv2_super,15,277,38,8
optuna,rbv2_super,15,659,38,9
optuna,rbv2_super,15,243,38,10
optuna,rbv2_super,15,288,38,11
optuna,rbv2_super,15,336,38,12
optuna,rbv2_super,15,243,38,13
optuna,rbv2_super,15,242,38,14
optuna,rbv2_super,15,243,38,15
optuna,rbv2_super,15,243,38,16
optuna,rbv2_super,15,286,38,17
optuna,rbv2_super,15,337,38,18
optuna,rbv2_super,15,243,38,19
optuna,rbv2_super,15,254,38,20
optuna,rbv2_super,15,262,38,21
optuna,rbv2_super,15,262,38,22
optuna,rbv2_super,15,585,38,23
optuna,rbv2_super,15,334,38,24
optuna,rbv2_super,15,760,38,25
optuna,rbv2_super,15,261,38,26
optuna,rbv2_super,15,261,38,27
optuna,rbv2_super,15,273,38,28
optuna,rbv2_super,15,288,38,29
optuna,rbv2_super,15,333,38,30
smac4hpo,lcbench,167168,144,7,1
smac4hpo,lcbench,167168,162,7,2
smac4hpo,lcbench,167168,145,7,3
smac4hpo,lcbench,167168,161,7,4
smac4hpo,lcbench,167168,162,7,5
smac4hpo,lcbench,167168,166,7,6
smac4hpo,lcbench,167168,143,7,7
