target,orig_direction,best,scenario,instance,target_variable,repl,iter
-50.0453453063965,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,111
-71.6379928588867,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,112
-41.8406181335449,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,113
-35.2773780822754,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,114
-76.6942367553711,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,115
-58.3006248474121,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,116
-69.6689910888672,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,117
-55.0159797668457,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,118
-42.1023178100586,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,119
-57.1648101806641,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,120
-43.8427391052246,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,121
-69.1078414916992,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,122
-44.6686782836914,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,123
-78.4466781616211,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,124
-27.7909088134766,maximize,-81.5892181396484,lcbench,167168,val_accuracy,1,125
-65.7610397338867,maximize,-65.7610397338867,lcbench,167168,val_accuracy,1,1
-63.8338966369629,maximize,-65.7610397338867,lcbench,167168,val_accuracy,1,2
-62.3457908630371,maximize,-65.7610397338867,lcbench,167168,val_accuracy,1,3
-63.6919670104981,maximize,-65.7610397338867,lcbench,167168,val_accuracy,1,4
-62.7241325378418,maximize,-65.7610397338867,lcbench,167168,val_accuracy,1,5
-58.8775825500488,maximize,-65.7610397338867,lcbench,167168,val_accuracy,1,6
-30.8154640197754,maximize,-65.7610397338867,lcbench,167168,val_accuracy,1,7
-35.0684051513672,maximize,-65.7610397338867,lcbench,167168,val_accuracy,1,8
-69.0742340087891,maximize,-69.0742340087891,lcbench,167168,val_accuracy,1,9
-41.8674430847168,maximize,-69.0742340087891,lcbench,167168,val_accuracy,1,10
-27.988582611084,maximize,-69.0742340087891,lcbench,167168,val_accuracy,1,11
-46.1842002868652,maximize,-69.0742340087891,lcbench,167168,val_accuracy,1,12
-49.8728752136231,maximize,-69.0742340087891,lcbench,167168,val_accuracy,1,13
-30.4295692443848,maximize,-69.0742340087891,lcbench,167168,val_accuracy,1,14
-74.7161254882813,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,15
-51.9615669250488,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,16
-68.9998397827149,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,17
-33.0578994750977,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,18
-28.6701335906982,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,19
-25.5325469970703,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,20
-72.2872161865234,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,21
-32.9032745361328,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,22
-29.595064163208,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,23
-66.8627777099609,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,24
