algorithm,scenario,instance,best,repl
mlr3mbo,lcbench,167168,-89.3696060180664,237
mlr3mbo,lcbench,167168,-89.0554962158203,238
mlr3mbo,lcbench,167168,-87.9508438110352,239
mlr3mbo,lcbench,167168,-87.723991394043,240
mlr3mbo,lcbench,167168,-89.3402938842774,241
mlr3mbo,lcbench,167168,-88.8244476318359,242
mlr3mbo,lcbench,167168,-89.3426818847656,243
mlr3mbo,lcbench,167168,-88.9824829101563,244
mlr3mbo,lcbench,167168,-88.9285278320313,245
mlr3mbo,lcbench,167168,-87.5608444213867,246
mlr3mbo,lcbench,167168,-89.2564926147461,247
mlr3mbo,lcbench,167168,-89.3607482910156,248
mlr3mbo,lcbench,167168,-89.0680618286133,249
mlr3mbo,lcbench,167168,-88.4953689575195,250
mlr3mbo,lcbench,167168,-88.8973236083984,251
mlr3mbo,lcbench,167168,-88.9560165405274,252
mlr3mbo,lcbench,167168,-88.9960632324219,253
mlr3mbo,lcbench,167168,-88.4794998168945,254
mlr3mbo,lcbench,167168,-89.0300216674805,255
mlr3mbo,lcbench,167168,-87.002815246582,256
mlr3mbo,lcbench,167168,-89.0252685546875,257
mlr3mbo,lcbench,167168,-89.0534591674805,258
mlr3mbo,lcbench,167168,-89.4129180908203,259
mlr3mbo,lcbench,167168,-88.9651718139649,260
mlr3mbo,lcbench,167168,-88.9597473144531,261
mlr3mbo,lcbench,167168,-86.8748016357422,262
mlr3mbo,lcbench,167168,-89.2752227783203,263
mlr3mbo,lcbench,167168,-89.0357971191406,264
mlr3mbo,lcbench,167168,-88.860710144043,265
mlr3mbo,lcbench,167168,-89.0673828125,266
mlr3mbo,lcbench,167168,-89.1346817016602,267
mlr3mbo,lcbench,167168,-88.9417572021485,268
mlr3mbo,lcbench,167168,-89.3709716796875,269
mlr3mbo,lcbench,167168,-88.0539016723633,270
mlr3mbo,lcbench,167168,-88.9410858154297,271
mlr3mbo,lcbench,167168,-89.1268615722656,272
mlr3mbo,lcbench,167168,-88.535888671875,273
mlr3mbo,lcbench,167168,-89.318489074707,274
mlr3mbo,lcbench,167168,-88.9495620727539,275
mlr3mbo,lcbench,167168,-88.9997940063477,276
mlr3mbo,lcbench,167168,-88.5362243652344,277
mlr3mbo,lcbench,167168,-88.3729095458985,278
mlr3mbo,lcbench,167168,-88.9896087646484,279
mlr3mbo,lcbench,167168,-89.0592346191406,280
mlr3mbo,lcbench,167168,-89.380859375,281
mlr3mbo,lcbench,167168,-88.8400344848633,282
mlr3mbo,lcbench,167168,-89.2796478271484,283
mlr3mbo,lcbench,167168,-88.5696640014649,284
mlr3mbo,lcbench,167168,-89.0327377319336,285
mlr3mbo,lcbench,167168,-89.2994079589844,286
mlr3mbo,lcbench,167168,-88.7242050170899,287
mlr3mbo,lcbench,167168,-89.0575332641602,288
mlr3mbo,lcbench,167168,-88.375602722168,289
mlr3mbo,lcbench,167168,-88.8871536254883,290
mlr3mbo,lcbench,167168,-88.4862518310547,291
mlr3mbo,lcbench,167168,-87.95654296875,292
mlr3mbo,lcbench,167168,-89.2272186279297,293
mlr3mbo,lcbench,167168,-89.2268829345703,294
mlr3mbo,lcbench,167168,-87.9421157836914,295
mlr3mbo,lcbench,167168,-89.1775360107422,296
mlr3mbo,lcbench,167168,-88.1675109863281,297
mlr3mbo,lcbench,167168,-88.9841842651367,298
mlr3mbo,lcbench,167168,-88.6447067260742,299
mlr3mbo,lcbench,167168,-89.1870651245117,300
mlr3mbo,lcbench,167168,-89.4077987670899,301
mlr3mbo,lcbench,167168,-89.1255035400391,302
mlr3mbo,lcbench,167168,-88.5304870605469,303
mlr3mbo,lcbench,167168,-88.9685668945313,304
