algorithm,scenario,instance,best,repl
mlr3mbo,lcbench,167168,-89.2738647460938,388
mlr3mbo,lcbench,167168,-89.4262161254883,389
mlr3mbo,lcbench,167168,-89.2755661010742,390
mlr3mbo,lcbench,167168,-89.4262161254883,391
mlr3mbo,lcbench,167168,-89.2728424072266,392
mlr3mbo,lcbench,167168,-89.2714767456055,393
mlr3mbo,lcbench,167168,-89.011344909668,394
mlr3mbo,lcbench,167168,-86.1126251220703,395
mlr3mbo,lcbench,167168,-89.2721633911133,396
mlr3mbo,lcbench,167168,-89.2759017944336,397
mlr3mbo,lcbench,167168,-89.2721633911133,398
mlr3mbo,lcbench,167168,-89.2670516967774,399
mlr3mbo,lcbench,167168,-89.2707977294922,400
mlr3mbo,lcbench,167168,-89.4258804321289,401
mlr3mbo,lcbench,167168,-89.1557693481445,402
mlr3mbo,lcbench,167168,-89.2738647460938,403
mlr3mbo,lcbench,167168,-89.4265594482422,404
mlr3mbo,lcbench,167168,-89.2724990844727,405
mlr3mbo,lcbench,167168,-89.2724990844727,406
mlr3mbo,lcbench,167168,-89.4258804321289,407
mlr3mbo,lcbench,167168,-89.2759017944336,408
mlr3mbo,lcbench,167168,-89.4258804321289,409
mlr3mbo,lcbench,167168,-89.2714767456055,410
mlr3mbo,lcbench,167168,-89.2714767456055,411
mlr3mbo,lcbench,167168,-89.3423385620117,412
mlr3mbo,lcbench,167168,-86.1122970581055,413
mlr3mbo,lcbench,167168,-89.2724990844727,414
mlr3mbo,lcbench,167168,-89.274543762207,415
mlr3mbo,lcbench,167168,-89.1918258666992,416
mlr3mbo,lcbench,167168,-89.2425384521484,417
mlr3mbo,lcbench,167168,-89.2711410522461,418
mlr3mbo,lcbench,167168,-89.2684097290039,419
mlr3mbo,lcbench,167168,-89.2663726806641,420
mlr3mbo,lcbench,167168,-89.4258804321289,421
mlr3mbo,lcbench,167168,-89.2742004394531,422
mlr3mbo,lcbench,167168,-86.1122970581055,423
mlr3mbo,lcbench,167168,-89.2714767456055,424
mlr3mbo,lcbench,167168,-89.4262161254883,425
mlr3mbo,lcbench,167168,-89.2718200683594,426
mlr3mbo,lcbench,167168,-89.4132537841797,427
mlr3mbo,lcbench,167168,-89.425537109375,428
mlr3mbo,lcbench,167168,-89.273178100586,429
mlr3mbo,lcbench,167168,-89.4262161254883,430
mlr3mbo,lcbench,167168,-86.1126251220703,431
mlr3mbo,lcbench,167168,-89.4262161254883,432
mlr3mbo,lcbench,167168,-89.2728424072266,433
mlr3mbo,lcbench,167168,-89.2762451171875,434
mlr3mbo,lcbench,167168,-89.4262161254883,435
mlr3mbo,lcbench,167168,-89.4262161254883,436
mlr3mbo,lcbench,167168,-89.2653503417969,437
mlr3mbo,lcbench,167168,-89.2759017944336,438
mlr3mbo,lcbench,167168,-89.4262161254883,439
mlr3mbo,lcbench,167168,-89.4262161254883,440
mlr3mbo,lcbench,167168,-89.2711410522461,441
mlr3mbo,lcbench,167168,-89.2701187133789,442
mlr3mbo,lcbench,167168,-89.2748870849609,443
mlr3mbo,lcbench,167168,-86.1122970581055,444
mlr3mbo,lcbench,167168,-89.2707977294922,445
mlr3mbo,lcbench,167168,-89.2728424072266,446
mlr3mbo,lcbench,167168,-89.274543762207,447
mlr3mbo,lcbench,167168,-89.2704544067383,448
mlr3mbo,lcbench,167168,-89.2684097290039,449
mlr3mbo,lcbench,167168,-89.4262161254883,450
