problem,instance,scenario,target,score
rbv2_svm_3_auc,3,rbv2_svm,auc,0.999666273593903
rbv2_svm_3_logloss,3,rbv2_svm,logloss,0.0211097095161676
rbv2_svm_18_acc,18,rbv2_svm,acc,0.779221534729004
rbv2_svm_18_bac,18,rbv2_svm,bac,0.798110902309418
rbv2_svm_18_auc,18,rbv2_svm,auc,0.98658299446106
rbv2_svm_18_logloss,18,rbv2_svm,logloss,0.568127930164337
rbv2_svm_40979_acc,40979,rbv2_svm,acc,0.990541577339172
rbv2_svm_40979_bac,40979,rbv2_svm,bac,0.990151584148407
rbv2_svm_40979_auc,40979,rbv2_svm,auc,0.999508023262024
rbv2_svm_40979_logloss,40979,rbv2_svm,logloss,0.0664836913347244
rbv2_svm_22_acc,22,rbv2_svm,acc,0.899044394493103
rbv2_svm_22_bac,22,rbv2_svm,bac,0.940765023231506
rbv2_svm_22_auc,22,rbv2_svm,auc,0.995894312858582
rbv2_svm_22_logloss,22,rbv2_svm,logloss,0.274831503629684
rbv2_svm_1515_acc,1515,rbv2_svm,acc,0.799450159072876
rbv2_svm_1515_bac,1515,rbv2_svm,bac,0.842426598072052
rbv2_svm_1515_auc,1515,rbv2_svm,auc,0.983263492584229
rbv2_svm_1515_logloss,1515,rbv2_svm,logloss,1.03519928455353
rbv2_svm_334_acc,334,rbv2_svm,acc,0.999654591083527
rbv2_svm_334_bac,334,rbv2_svm,bac,0.995189845561981
rbv2_svm_334_auc,334,rbv2_svm,auc,0.999679625034332
rbv2_svm_334_logloss,334,rbv2_svm,logloss,0.0114578837528825
rbv2_svm_24_acc,24,rbv2_svm,acc,0.999999403953552
rbv2_svm_24_bac,24,rbv2_svm,bac,0.999982833862305
rbv2_svm_24_logloss,24,rbv2_svm,logloss,9.82440542429686e-05
rbv2_svm_1493_acc,1493,rbv2_svm,acc,0.907934427261353
rbv2_svm_1493_bac,1493,rbv2_svm,bac,0.983220398426056
rbv2_svm_1493_auc,1493,rbv2_svm,auc,0.999631941318512
rbv2_svm_1493_logloss,1493,rbv2_svm,logloss,1.63295578956604
rbv2_svm_28_acc,28,rbv2_svm,acc,0.994552552700043
rbv2_svm_28_bac,28,rbv2_svm,bac,0.996274292469025
rbv2_svm_28_auc,28,rbv2_svm,auc,0.999927520751953
rbv2_svm_28_logloss,28,rbv2_svm,logloss,0.027111142873764
rbv2_svm_1050_acc,1050,rbv2_svm,acc,0.930844783782959
rbv2_svm_1050_bac,1050,rbv2_svm,bac,0.611779987812042
rbv2_svm_1050_auc,1050,rbv2_svm,auc,0.784662008285523
rbv2_svm_1050_logloss,1050,rbv2_svm,logloss,0.26683035492897
rbv2_svm_1049_acc,1049,rbv2_svm,acc,0.921828866004944
rbv2_svm_1049_bac,1049,rbv2_svm,bac,0.725271701812744
rbv2_svm_1049_auc,1049,rbv2_svm,auc,0.930085062980652
rbv2_svm_1049_logloss,1049,rbv2_svm,logloss,0.224020898342133
rbv2_svm_40984_acc,40984,rbv2_svm,acc,0.965739607810974
rbv2_svm_40984_bac,40984,rbv2_svm,bac,0.96915191411972
rbv2_svm_40984_auc,40984,rbv2_svm,auc,0.998658120632172
rbv2_svm_40984_logloss,40984,rbv2_svm,logloss,0.127504825592041
rbv2_svm_40685_acc,40685,rbv2_svm,acc,0.998482942581177
rbv2_svm_40685_bac,40685,rbv2_svm,bac,0.991603076457977
rbv2_svm_40685_auc,40685,rbv2_svm,auc,0.999906539916992
rbv2_svm_40685_logloss,40685,rbv2_svm,logloss,0.00930506363511086
rbv2_svm_42_acc,42,rbv2_svm,acc,0.950611472129822
rbv2_svm_42_bac,42,rbv2_svm,bac,6.49610573666415e-15
rbv2_svm_42_auc,42,rbv2_svm,auc,3.48278263867519e-15
rbv2_svm_42_logloss,42,rbv2_svm,logloss,0.282940626144409
rbv2_svm_44_acc,44,rbv2_svm,acc,0.946919858455658
rbv2_svm_44_bac,44,rbv2_svm,bac,0.921070992946625
rbv2_svm_44_auc,44,rbv2_svm,auc,0.987562000751495
rbv2_svm_44_logloss,44,rbv2_svm,logloss,0.188474372029305
rbv2_svm_46_acc,46,rbv2_svm,acc,0.978771984577179
rbv2_svm_46_bac,46,rbv2_svm,bac,0.978937089443207
rbv2_svm_46_auc,46,rbv2_svm,auc,0.999492764472961
rbv2_svm_46_logloss,46,rbv2_svm,logloss,0.0705672800540924
rbv2_svm_1040_acc,1040,rbv2_svm,acc,0.997753918170929
rbv2_svm_1040_bac,1040,rbv2_svm,bac,0.970626294612885
rbv2_svm_1040_auc,1040,rbv2_svm,auc,0.993829786777496
rbv2_svm_1040_logloss,1040,rbv2_svm,logloss,0.00957995280623436
rbv2_svm_41146_acc,41146,rbv2_svm,acc,0.93651294708252
rbv2_svm_41146_bac,41146,rbv2_svm,bac,0.949484527111053
rbv2_svm_41146_auc,41146,rbv2_svm,auc,0.995641708374023
rbv2_svm_41146_logloss,41146,rbv2_svm,logloss,0.175232917070389
rbv2_svm_377_acc,377,rbv2_svm,acc,0.993391036987305
rbv2_svm_377_bac,377,rbv2_svm,bac,0.988453328609467
rbv2_svm_377_auc,377,rbv2_svm,auc,0.999523282051086
rbv2_svm_377_logloss,377,rbv2_svm,logloss,0.0434838086366653
rbv2_svm_40499_acc,40499,rbv2_svm,acc,0.997714757919312
rbv2_svm_40499_bac,40499,rbv2_svm,bac,0.993105947971344
rbv2_svm_40499_auc,40499,rbv2_svm,auc,0.999837875366211
rbv2_svm_40499_logloss,40499,rbv2_svm,logloss,0.0216826908290386
rbv2_svm_1497_acc,1497,rbv2_svm,acc,0.92726743221283
rbv2_svm_1497_bac,1497,rbv2_svm,bac,0.917434573173523
rbv2_svm_1497_auc,1497,rbv2_svm,auc,0.992926001548767
rbv2_svm_1497_logloss,1497,rbv2_svm,logloss,0.225193291902542
rbv2_svm_60_acc,60,rbv2_svm,acc,0.888843536376953
rbv2_svm_60_bac,60,rbv2_svm,bac,0.922620058059692
rbv2_svm_60_auc,60,rbv2_svm,auc,0.987586438655853
rbv2_svm_60_logloss,60,rbv2_svm,logloss,0.26652118563652
rbv2_svm_40983_acc,40983,rbv2_svm,acc,0.990559697151184
rbv2_svm_40983_bac,40983,rbv2_svm,bac,0.923771619796753
rbv2_svm_40983_auc,40983,rbv2_svm,auc,0.997285723686218
rbv2_svm_40983_logloss,40983,rbv2_svm,logloss,0.0400586575269699
rbv2_svm_4154_acc,4154,rbv2_svm,acc,0.999579310417175
rbv2_svm_4154_bac,4154,rbv2_svm,bac,0.786538004875183
rbv2_svm_4154_auc,4154,rbv2_svm,auc,0.96457839012146
rbv2_svm_4154_logloss,4154,rbv2_svm,logloss,0.00335521111264825
rbv2_svm_469_acc,469,rbv2_svm,acc,0.250173538923264
rbv2_svm_469_bac,469,rbv2_svm,bac,0.298847794532776
rbv2_svm_469_auc,469,rbv2_svm,auc,0.762812972068787
rbv2_svm_469_logloss,469,rbv2_svm,logloss,1.64977788925171
rbv2_svm_31_acc,31,rbv2_svm,acc,0.762906908988953
rbv2_svm_31_bac,31,rbv2_svm,bac,0.669709444046021
rbv2_svm_31_auc,31,rbv2_svm,auc,0.852363348007202
rbv2_svm_31_logloss,31,rbv2_svm,logloss,0.500955998897553
