job_id,problem,instance,scenario,target,mean_score,sd_score
230,rbv2_svm_4534_bac,4534,rbv2_svm,bac,-0.94910264018774,0.00205979844280984
231,rbv2_svm_4534_auc,4534,rbv2_svm,auc,-0.992856917417049,0.000850175043530677
232,rbv2_svm_4534_logloss,4534,rbv2_svm,logloss,0.0876438438385725,0.00418048301728255
233,rbv2_svm_40900_acc,40900,rbv2_svm,acc,-0.996881511986256,0.00049060162241139
234,rbv2_svm_40900_bac,40900,rbv2_svm,bac,-0.85737403730154,0.0131716485144304
235,rbv2_svm_40900_auc,40900,rbv2_svm,auc,-0.979596583998203,0.00150890546578351
236,rbv2_svm_40900_logloss,40900,rbv2_svm,logloss,0.0185863809350878,0.00254388558703061
237,rbv2_svm_1457_acc,1457,rbv2_svm,acc,-0.834054840064049,0.000605794037028348
238,rbv2_svm_1457_bac,1457,rbv2_svm,bac,-0.934127848374844,0.0112483766712159
239,rbv2_svm_1457_auc,1457,rbv2_svm,auc,-0.976081032681465,0.00401199399203693
240,rbv2_svm_1457_logloss,1457,rbv2_svm,logloss,1.11080315260887,0.0160141291088976
241,rbv2_svm_11_acc,11,rbv2_svm,acc,-0.976750127804279,0.00691945033182165
242,rbv2_svm_11_bac,11,rbv2_svm,bac,-0.92844405914545,0.015187962659229
243,rbv2_svm_11_auc,11,rbv2_svm,auc,-0.995801051807404,0.000902476743863317
244,rbv2_svm_11_logloss,11,rbv2_svm,logloss,0.108286890272796,0.0171754426190189
245,rbv2_svm_1462_acc,1462,rbv2_svm,acc,-0.999633056616783,7.65828518417062e-05
246,rbv2_svm_1462_bac,1462,rbv2_svm,bac,-0.996292814958096,0.000672423737958063
247,rbv2_svm_1462_auc,1462,rbv2_svm,auc,-0.999961306810379,1.71501029444863e-05
248,rbv2_svm_1462_logloss,1462,rbv2_svm,logloss,0.00555723198903725,0.000770351448486161
249,rbv2_svm_41142_acc,41142,rbv2_svm,acc,-0.719050269889832,0.00606031138076689
250,rbv2_svm_41142_bac,41142,rbv2_svm,bac,-0.756747933554649,0.00949136518258758
251,rbv2_svm_41142_auc,41142,rbv2_svm,auc,-0.87818761638403,0.0115552180994174
252,rbv2_svm_41142_logloss,41142,rbv2_svm,logloss,0.446255685245991,0.0234924165714156
253,rbv2_svm_40701_acc,40701,rbv2_svm,acc,-0.91997583694458,0.00233040842236013
254,rbv2_svm_40701_bac,40701,rbv2_svm,bac,-0.751753542256355,0.00677741160242079
