job_id,problem,instance,scenario,target,score,quantiles_001,quantiles_01,quantiles_05,quantiles_10,quantiles_20
2048,rbv2_xgboost_469_logloss,469,rbv2_xgboost,logloss,1.30467176437378,1.56266746759415,1.6605521774292,1.74906837940216,1.76700677871704,1.78652000427246
2049,rbv2_xgboost_23381_acc,23381,rbv2_xgboost,acc,-0.646476626396179,-0.629351034283638,-0.616357147693634,-0.598367691040039,-0.590047949552536,-0.581508576869965
2050,rbv2_xgboost_23381_bac,23381,rbv2_xgboost,bac,-0.594842910766602,-0.570283295929432,-0.560743038654327,-0.547472676634789,-0.536242425441742,-0.507643401622772
2051,rbv2_xgboost_23381_auc,23381,rbv2_xgboost,auc,-0.684527516365051,-0.634174592614174,-0.613381862640381,-0.591274738311768,-0.576445454359055,-0.551995718479156
2052,rbv2_xgboost_23381_logloss,23381,rbv2_xgboost,logloss,0.568400025367737,0.614196771025658,0.63233106970787,0.64543604850769,0.650958836078644,0.657228291034699
2053,rbv2_xgboost_41157_acc,41157,rbv2_xgboost,acc,-0.850413084030151,-0.820157113850117,-0.784747362732887,-0.742176532745361,-0.717263758182526,-0.662701666355133
2054,rbv2_xgboost_41157_bac,41157,rbv2_xgboost,bac,-0.854063212871552,-0.8162464017272,-0.785397613048554,-0.750030758976936,-0.728990244865418,-0.672189378738403
2055,rbv2_xgboost_41157_auc,41157,rbv2_xgboost,auc,-0.874069094657898,-0.837675874292851,-0.812488944530487,-0.778848350048065,-0.753467321395874,-0.698491060733795
2056,rbv2_xgboost_41157_logloss,41157,rbv2_xgboost,logloss,0.389913678169251,0.477230311065912,0.53978157043457,0.602868914604187,0.632301807403565,0.664764404296875
2057,rbv2_xgboost_15_acc,15,rbv2_xgboost,acc,-0.994512438774109,-0.987089276313782,-0.981717545390129,-0.974086999893188,-0.968957841396332,-0.958560943603516
2058,rbv2_xgboost_15_bac,15,rbv2_xgboost,bac,-0.984383523464203,-0.973892273664475,-0.96697247505188,-0.958703824877739,-0.952749854326248,-0.940541994571686
2059,rbv2_xgboost_15_auc,15,rbv2_xgboost,auc,-0.996707618236542,-0.994472565174103,-0.992371261119843,-0.989811718463898,-0.988006591796875,-0.984190404415131
2060,rbv2_xgboost_15_logloss,15,rbv2_xgboost,logloss,0.06767887622118,0.094213883921504,0.1162443831563,0.149783074855804,0.182505190372467,0.270676761865616
2061,rbv2_xgboost_4541_acc,4541,rbv2_xgboost,acc,-1,-1,-1,-0.753702560067177,-0.641829967498779,-0.61611270904541
2062,rbv2_xgboost_4541_bac,4541,rbv2_xgboost,bac,-1,-0.925578903675079,-0.496152733266354,-0.448761646449566,-0.437696903944016,-0.417215424776077
2063,rbv2_xgboost_4541_auc,4541,rbv2_xgboost,auc,-1,-1,-1,-0.949918401241302,-0.818656742572784,-0.741844213008881
2064,rbv2_xgboost_4541_logloss,4541,rbv2_xgboost,logloss,-3.44859696355115e-11,-3.44859696355115e-11,-3.44859696355115e-11,0.738990142941475,0.796101331710815,0.841662096977234
2065,rbv2_xgboost_23_acc,23,rbv2_xgboost,acc,-0.767298638820648,-0.702992330729961,-0.647578681707382,-0.616045713424683,-0.603166580200195,-0.570763945579529
2066,rbv2_xgboost_23_bac,23,rbv2_xgboost,bac,-0.595374226570129,-0.567586010396481,-0.557095829844475,-0.546903610229492,-0.537242829799652,-0.500088119506836
2067,rbv2_xgboost_23_auc,23,rbv2_xgboost,auc,-0.836368381977081,-0.797319714784622,-0.781853392720223,-0.764300000667572,-0.751161396503449,-0.73020201921463
2068,rbv2_xgboost_23_logloss,23,rbv2_xgboost,logloss,0.606943607330322,0.722527086734772,0.792986372113228,0.852363288402557,0.892986953258514,0.963442432880402
2069,rbv2_xgboost_4134_acc,4134,rbv2_xgboost,acc,-0.902239978313446,-0.843589136719704,-0.803835272789002,-0.777776539325714,-0.765226185321808,-0.7506143450737
2070,rbv2_xgboost_4134_bac,4134,rbv2_xgboost,bac,-0.832731246948242,-0.802298670589924,-0.787232894897461,-0.770164310932159,-0.75978245139122,-0.74582804441452
2071,rbv2_xgboost_4134_auc,4134,rbv2_xgboost,auc,-0.920807480812073,-0.877311052560806,-0.859515683054924,-0.845606029033661,-0.837046623229981,-0.825408101081848
2072,rbv2_xgboost_4134_logloss,4134,rbv2_xgboost,logloss,0.311610192060471,0.439986723095179,0.461589425802231,0.490472435951233,0.511403739452362,0.547039389610291
2073,rbv2_xgboost_40927_acc,40927,rbv2_xgboost,acc,-1,-1,-1,-1,-1,-0.906720566749573
2074,rbv2_xgboost_40927_bac,40927,rbv2_xgboost,bac,-1,-0.559672904491425,-0.511862365603447,-0.465915037691593,-0.435291987657547,-0.393259197473526
2075,rbv2_xgboost_40927_auc,40927,rbv2_xgboost,auc,-1,-1,-1,-1,-1,-0.985617339611053
2076,rbv2_xgboost_40927_logloss,40927,rbv2_xgboost,logloss,-3.44859696355115e-11,-3.44859696355115e-11,-3.44859696355115e-11,-3.44859696355115e-11,0.195849317312241,1.35081539154053
2077,rbv2_xgboost_40981_acc,40981,rbv2_xgboost,acc,-0.922977328300476,-0.898811583936215,-0.889864683151245,-0.879235804080963,-0.869697093963623,-0.844189524650574
2078,rbv2_xgboost_40981_bac,40981,rbv2_xgboost,bac,-0.912571370601654,-0.893314243853092,-0.883493661880493,-0.873606336116791,-0.86518936753273,-0.8402747631073
2079,rbv2_xgboost_40981_auc,40981,rbv2_xgboost,auc,-0.961195468902588,-0.950633410274983,-0.945963263511658,-0.94021075963974,-0.934279322624207,-0.917240381240845
2080,rbv2_xgboost_40981_logloss,40981,rbv2_xgboost,logloss,0.272518813610077,0.311456708043814,0.334672459959984,0.386365503072739,0.437093049287796,0.528993666172028
2081,rbv2_xgboost_41156_acc,41156,rbv2_xgboost,acc,-0.934762358665466,-0.889730632305145,-0.878845188617706,-0.865990936756134,-0.856643319129944,-0.842646777629852
2082,rbv2_xgboost_41156_bac,41156,rbv2_xgboost,bac,-0.839172899723053,-0.798737589120865,-0.78303909599781,-0.763501441478729,-0.746142154932022,-0.712216281890869
2083,rbv2_xgboost_41156_auc,41156,rbv2_xgboost,auc,-0.952106893062592,-0.917137147724628,-0.909009414315224,-0.899195730686188,-0.891058683395386,-0.874025702476502
2084,rbv2_xgboost_41156_logloss,41156,rbv2_xgboost,logloss,0.203093230724335,0.321699600607157,0.340641776025295,0.367979824542999,0.391430974006653,0.42151004076004
2085,rbv2_xgboost_3_acc,3,rbv2_xgboost,acc,-0.997597694396973,-0.993437472760677,-0.986720401644707,-0.970928257703781,-0.956327682733536,-0.926658689975739
