booster,nrounds,eta,gamma,lambda,alpha,subsample,max_depth,min_child_weight,colsample_bytree,colsample_bylevel,rate_drop,skip_drop,num.impute.selected.cpo,acc
dart,7.45253026112914,,,4.24584976019496,3.83414056988805,0.26632961272262,,,,,0,0.0476854597457431,impute.median,1
dart,7.06803939444944,,,-0.0620150710456073,6.77264906466007,0.300656743388995,,,,,0.169615000572795,0.0705737402506028,impute.median,1
dart,3.46648808375414,,,1.23574465883923,3.35472531834572,0.254273195275753,,,,,0.215965943357006,0,impute.hist,1
dart,5.72724754875526,,,2.25209877034649,5.30430780389136,0.84534266164992,,,,,0.275622209030689,0.340967656567518,impute.median,1
gblinear,5.67147495350447,,,-3.51611862724691,-7,0.185093198972754,,,,,,,impute.median,0.982871651649475
dart,3.08541788160801,,,-3.92317051440477,0.283446632705392,0.824836010532454,,,,,0.087176751345396,0.0740419586098711,impute.median,1
dart,6.23007466685862,,,-2.39504233244172,-2.08259535198856,0.91240741755645,,,,,0.213502708887864,0.00281371804885566,impute.hist,1
dart,5.81135480618104,,,-4.47175857657567,3.20167451309205,0.944842173717916,,,,,0.135604321490973,0.0292802446960588,impute.median,1
dart,6.40259336819872,,,-5.91851127054542,5.05186236836016,0.1,,,,,0.0141462323797486,0.0367329198047684,impute.hist,1
dart,5.16051045982186,,,-4.99453735580206,-0.000662679318338633,0.824329780264238,,,,,0.138675070125851,0.0142228052630451,impute.mean,1
dart,5.9230909049511,,,1.39527110429481,7,0.649498920096085,,,,,0,0.0842313870001015,impute.median,1
dart,7.38629343779758,,,-6.04137197835371,4.84772908209249,0.818323663412593,,,,,0.0690236566501996,0.032199308585893,impute.mean,1
dart,4.61862340678896,,,-7,-3.57630333302662,0.515280950488523,,,,,0.163840478865548,0.0202497214553372,impute.hist,1
dart,2.13197968979304,,,-3.36333126095762,-6.21940866178549,0.479586648196827,,,,,0.0234540121821176,0.0243578745190782,impute.hist,1
dart,3.66377480605293,,,5.00624546461985,6.57370063615963,0.680602481355891,,,,,0.164981711252151,0.0411589479141183,impute.median,1
dart,7.0383012598416,,,-1.26920082885772,-6.65857197244423,0.913794208515126,,,,,0.188110428409708,0,impute.median,1
dart,4.66362224379554,,,-0.934914494398981,7,0.565697558777285,,,,,0.130591416265816,0.049971680146415,impute.median,1
dart,7.58340865559876,,,-3.63231611903757,7,0.400036762957461,,,,,0.248884336485141,0.0123783129828848,impute.hist,1
dart,2.8815123247914,,,-5.42543978523463,5.58526546182111,0.92732081557624,,,,,0.002860342410827,0.0565668793860823,impute.median,1
dart,7.05018328223378,,,4.22084540522001,2.85570067260334,0.47266717706807,,,,,0.17711417722888,0.0182878979655519,impute.mean,1
dart,3.89273163396865,,,-0.27069456782192,2.35534695117465,0.603536623422529,,,,,0.0492057848871795,0.0317137925758851,impute.median,1
dart,4.21855219478936,,,-4.06484592147172,3.25091986809518,0.311717039047867,,,,,0.205746213838916,0.00592272255155391,impute.mean,1
dart,5.82049244968221,,,-5.17534892670455,4.59851346690035,0.925404028967023,,,,,0.002860342410827,0.0391142896716048,impute.mean,1
dart,4.49020173043338,,,6.35200983927967,-0.458160491855493,0.834507637638064,,,,,0.0682142174337059,0.0275037180302796,impute.mean,1
dart,6.30149881495163,,,-2.35049782367423,5.18110413000426,0.622142162130512,,,,,0.200801258445221,0.0322696376807017,impute.median,1
gbtree,8,-5.99134870729147,-9.35403131530621,-6.88463882170618,-7,0.287917581884052,2,1.06378965266049,0.330376926325735,0.150589883900014,,,impute.mean,0.968329668045044
dart,3.69987439364195,,,2.8610934282568,6.42674117014927,0.382755895112678,,,,,0.198030215281379,0.0231122795669445,impute.hist,1
dart,6.49945443449542,,,-1.73049945197999,5.46409451635554,0.466691959905438,,,,,0,0.0567796872568647,impute.hist,1
dart,6.80972203006968,,,-4.66067260224372,5.66918830252081,0.15589278487023,,,,,0.222861684393138,0,impute.hist,1
dart,3.77599522843957,,,4.46685352679745,7,0.699946031300351,,,,,0.249143008997801,0,impute.median,1
dart,2.96824819513109,,,-0.509839266553342,-7,0.436981143351913,,,,,0.167427223994199,0.0177452531643212,impute.median,1
dart,6.3138818196021,,,-6.4654430761002,5.22535307798535,0.127651479258202,,,,,0.0642776940213334,0.0379593942927017,impute.mean,1
dart,5.06017364178466,,,5.60605335794389,-6.54492637606793,0.528265006143851,,,,,0.177632381371536,0,impute.median,1
dart,2.20873408345506,,,-3.54708625448149,-7,0.113888118721708,,,,,0.158676225073198,0.0100908347127391,impute.mean,1
dart,4.1598897950935,,,5.47018442582339,1.23740586375818,0.526808217726648,,,,,0.185755387331987,0,impute.mean,1
dart,5.61526373375457,,,-4.52377503877506,7,0.685901592625305,,,,,0.24069025483181,0,impute.hist,1
dart,4.06814327277243,,,1.22099471325055,1.31252249592217,0.496043365219889,,,,,0.203521782508555,0.00123617572762984,impute.mean,1
