input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,output_trafo,3,2,0.493718387940162,0,14,3
none,standardize,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,output_trafo,3,3,0.510439744803086,0,14,3
none,log,lhs,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init,3,4,0.679165758173977,0,14,3
none,log,sobol,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init,3,5,0.680644655708431,0,14,3
none,log,random,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init_size_fraction,3,6,0.71776529265536,0,14,3
none,log,random,0.10,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,init_size_fraction,3,7,0.710882042317514,0,14,3
none,log,random,0.25,2,500,ensemble_standard_deviation,EI,,FALSE,,LS,random_interleave_iter,3,8,0.627741037951984,0,14,3
none,log,random,0.25,4,500,ensemble_standard_deviation,EI,,FALSE,,LS,random_interleave_iter,3,9,0.660388650182158,0,14,3
none,log,random,0.25,0,10,ensemble_standard_deviation,EI,,FALSE,,LS,trees,3,10,0.526315474513124,0,14,3
none,log,random,0.25,0,500,jack,EI,,FALSE,,LS,variance_estimator,3,11,0.669514415671754,0,14,3
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,variance_estimator,3,12,0.761972345417703,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,PI,,,,LS,acqf,3,13,0.691030925216845,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,Mean,,,,LS,acqf,3,14,0.693755700315078,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,1,,TRUE,LS,acqf,3,15,0.74484897726222,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,3,,TRUE,LS,acqf,3,16,0.697778646772689,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,10,,TRUE,LS,acqf,3,17,0.637541298160198,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,1,,FALSE,LS,acqf,3,18,0.71441497730645,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,3,,FALSE,LS,acqf,3,19,0.706403069030319,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,CB,10,,FALSE,LS,acqf,3,20,0.627486493881337,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,TRUE,,LS,acqf,3,21,0.680093301182304,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,acqopt,3,22,0.518739574065344,0,14,3
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS,acqopt,3,23,0.558187784501708,0,14,3
unitcube,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,input_trafo,4,1,0.752643217556852,0,14,4
none,none,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,output_trafo,4,2,0.539179719234225,0,14,4
none,standardize,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,output_trafo,4,3,0.59926108386558,0,14,4
none,log,lhs,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,init,4,4,0.752824788869861,0,14,4
none,log,sobol,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,init,4,5,0.746552518885612,0,14,4
none,log,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,4,6,0.792692150044183,0,14,4
none,log,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,4,7,0.784252335610877,0,14,4
none,log,random,0.25,2,500,law_of_total_variance,EI,,FALSE,,LS,random_interleave_iter,4,8,0.710803754522177,0,14,4
none,log,random,0.25,4,500,law_of_total_variance,EI,,FALSE,,LS,random_interleave_iter,4,9,0.739506486992784,0,14,4
none,log,random,0.25,0,10,law_of_total_variance,EI,,FALSE,,LS,trees,4,10,0.652377288880286,0,14,4
none,log,random,0.25,0,500,jack,EI,,FALSE,,LS,variance_estimator,4,11,0.679139986522575,0,14,4
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,variance_estimator,4,12,0.682834230282628,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,PI,,,,LS,acqf,4,13,0.741793254548826,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,Mean,,,,LS,acqf,4,14,0.703941551910402,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,1,,TRUE,LS,acqf,4,15,0.73001023567628,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,3,,TRUE,LS,acqf,4,16,0.746902930036739,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,4,17,0.746552678311125,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,1,,FALSE,LS,acqf,4,18,0.738393073760685,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,CB,3,,FALSE,LS,acqf,4,19,0.77470076458028,0,14,4
